texto,unidad,caso,condicion,casa,repeticion,voto_inicial,voto_inicial__n,voto_final,voto_final__n,modificacion,modificacion__n,voto_condicionado,voto_condicionado__n,argumento_principal,argumento_principal__n,escazu,escazu__n,antecedente_externo,antecedente_externo__n,afirmacion_sobre_el_debate,afirmacion_sobre_el_debate__n,lectura_del_proceso_de_redaccion,lectura_del_proceso_de_redaccion__n,reconoce_limites_de_informacion,reconoce_limites_de_informacion__n,beneficiario_principal,beneficiario_principal__n,nombra_actor_concreto,nombra_actor_concreto__n,revision_en_turno2,revision_en_turno2__n,por_que_ahora,por_que_ahora__n,registro,registro__n,ante_el_bloque,ante_el_bloque__n,tension_reconocida,tension_reconocida__n,costo_politico,costo_politico__n,lectura_del_articulo_14,lectura_del_articulo_14__n
corridas/economia_conocimiento/T/claude-fable-5-1_1,proyecto,economia_conocimiento,T,claude-fable-5-1,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,argentino,2,ambas,3,no,2,si,3,sector_especifico,3,si,2,matiza,3,sin_mayoria,1,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/T/claude-opus-5_1,proyecto,economia_conocimiento,T,claude-opus-5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,argentino,3,ambas,2,si,3,si,2,inversores_o_empresas,2,no,3,matiza,3,coyuntura_politica,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/T/claude-sonnet-4-6_1,proyecto,economia_conocimiento,T,claude-sonnet-4-6,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,3,no_lo_nombra,3,ninguno,2,sobre_el_tramite,2,no,2,si,2,sector_especifico,3,no,2,mantiene,2,compromiso_externo,3,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/T/claude-sonnet-5_1,proyecto,economia_conocimiento,T,claude-sonnet-5,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,argentino,2,sobre_el_tramite,2,no,2,no,3,sector_especifico,2,no,2,matiza,3,coyuntura_politica,3,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/T/deepseek-v4-pro_1,proyecto,economia_conocimiento,T,deepseek-v4-pro,1,negativo,3,negativo,3,puntual,3,si,3,fiscal,3,no_lo_nombra,3,argentino,2,sobre_el_tramite,3,no,2,no,3,inversores_o_empresas,2,no,3,mantiene,2,compromiso_externo,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/T/gemini-3.1-pro-preview_1,proyecto,economia_conocimiento,T,gemini-3.1-pro-preview,1,afirmativo,3,afirmativo,3,puntual,3,no,3,seguridad_juridica_o_inversion,2,no_lo_nombra,3,argentino,3,sobre_el_tramite,2,no,3,no,3,sector_especifico,2,no,3,mantiene,3,compromiso_externo,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/T/glm-5.3-razonamiento-minimo_1,proyecto,economia_conocimiento,T,glm-5.3-razonamiento-minimo,1,afirmativo,3,afirmativo,3,puntual,3,no,3,sin_mayoria,1,no_lo_nombra,3,argentino,2,sobre_el_tramite,3,no,2,no,3,sector_especifico,2,si,3,matiza,3,compromiso_externo,2,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/T/gpt-5.5-2026-04-23_1,proyecto,economia_conocimiento,T,gpt-5.5-2026-04-23,1,afirmativo,3,afirmativo,3,puntual,3,no,3,otro,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,3,no,3,no,3,sector_especifico,2,no,3,matiza,3,otro,2,mixto,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/T/gpt-5.6-sol_1,proyecto,economia_conocimiento,T,gpt-5.6-sol,1,afirmativo,3,afirmativo,3,puntual,3,no,3,otro,3,no_lo_nombra,3,argentino,3,sobre_el_tramite,3,si,2,si,3,sector_especifico,2,no,3,mantiene,2,compromiso_externo,3,tecnico,2,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
corridas/economia_conocimiento/T/gpt-6-astra_1,proyecto,economia_conocimiento,T,gpt-6-astra,1,negativo,3,negativo,3,puntual,3,si,3,fiscal,3,no_lo_nombra,3,argentino,2,sobre_el_tramite,2,no,2,si,3,inversores_o_empresas,3,no,3,mantiene,2,compromiso_externo,3,mixto,3,no_aplica,3,no_aplica,3,no_aplica,3,no_aplica,3
